[SSE UPDATE 2025-08-04 19:28:12] +2.5 jours à Lina Kacemi (NIN: 100000000000000002); Ancien: 2.5, Nouveau: 5
[SSE UPDATE 2025-08-04 19:28:12] +2.5 jours à Yacine Cherif (NIN: 100000000000000003); Ancien: 0.0, Nouveau: 2.5
[SSE UPDATE 2025-08-04 19:28:12] +2.5 jours à Nika lopa (NIN: 123456789412365412); Ancien: 0.0, Nouveau: 2.5
[SSE UPDATE 2025-08-04 19:28:12] +2.5 jours à chaib nassim (NIN: 190008899); Ancien: 79.5, Nouveau: 82
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Kakou Lio (NIN: 321589741596478527); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à test0366 test00000 (NIN: 321589741596478529); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à bendada dddd (NIN: 777788899933333336); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à poii nbbb (NIN: 789456214785236988); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à test alpha (NIN: 90000000); Ancien: 4.5, Nouveau: 7
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Ahmed Brahimi (NIN: E0001); Ancien: 30.0, Nouveau: 32.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Samira Belkacem (NIN: E0002); Ancien: 12.0, Nouveau: 14.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Yacine Kaci (NIN: E0003); Ancien: 15.0, Nouveau: 17.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Nadia Benali (NIN: E0004); Ancien: 35.0, Nouveau: 37.5
[SSE UPDATE 2025-08-04 19:28:13] +2.5 jours à Karim Zerrouki (NIN: E0005); Ancien: 33.0, Nouveau: 35.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Leila Haddad (NIN: E0006); Ancien: 20.0, Nouveau: 22.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Amina Dali (NIN: E1001); Ancien: 15.0, Nouveau: 17.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Mourad Benziane (NIN: E1002); Ancien: 10.0, Nouveau: 12.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Sonia Khelifi (NIN: E1003); Ancien: 10.0, Nouveau: 12.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Rachid Haroun (NIN: E1004); Ancien: 13.0, Nouveau: 15.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Fatima Bouaziz (NIN: E1005); Ancien: 8.0, Nouveau: 10.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Bob Martin (NIN: TST0002); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à Claire Bernard (NIN: TST0003); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:14] +2.5 jours à David Dubois (NIN: TST0004); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Eva Thomas (NIN: TST0005); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Franck Robert (NIN: TST0006); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Gisèle Richard (NIN: TST0007); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Hugo Petit (NIN: TST0008); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Irène Durand (NIN: TST0009); Ancien: 5.0, Nouveau: 7.5
[SSE UPDATE 2025-08-04 19:28:15] +2.5 jours à Jean Leroy (NIN: TST0010); Ancien: 5.0, Nouveau: 7.5
